x,y,z,u,v,w,p,speed
0.769231,0.846154,0,-9.43295e-34,-3.01831e-34,8.96179e-35,1.25782,9.94454e-34
0.846154,0.846154,0,-8.75825e-34,-8.45327e-35,2.4208e-34,1.65476,9.12589e-34
0.923077,0.846154,0,-4.78007e-34,1.39093e-34,-3.31819e-34,2.74879,5.98282e-34
1,0.846154,0,-9.8341e-35,9,-3.45883e-36,2.02572,9
0,0.923077,0,-8.4542e-37,-7.8662e-37,-4.25017e-37,0.111078,1.23051e-36
0.0769231,0.923077,0,-6.03788e-36,-3.42135e-36,5.55173e-37,0.108178,6.96203e-36
0.153846,0.923077,0,-1.94713e-35,-6.21192e-36,2.563e-36,0.105494,2.05983e-35
0.230769,0.923077,0,-4.13855e-35,-8.93823e-36,4.26721e-36,0.113637,4.25542e-35
0.307692,0.923077,0,-7.21768e-35,-1.22525e-35,5.95348e-36,0.140148,7.3451e-35
0.384615,0.923077,0,-1.13576e-34,-1.69504e-35,7.62016e-36,0.19289,1.15086e-34
0.461538,0.923077,0,-1.68737e-34,-2.40451e-35,9.83986e-36,0.281923,1.70725e-34
0.538462,0.923077,0,-2.43798e-34,-3.54141e-35,1.04567e-35,0.425902,2.46578e-34
0.615385,0.923077,0,-3.47604e-34,-5.51713e-35,1.25514e-35,0.647254,3.52179e-34
0.692308,0.923077,0,-4.79222e-34,-8.61854e-35,4.12211e-35,0.977548,4.88652e-34
0.769231,0.923077,0,-7.52142e-34,-1.68843e-34,-9.67889e-35,1.6954,7.76913e-34
0.846154,0.923077,0,-8.19057e-34,-1.90549e-34,2.33032e-34,2.415,8.72621e-34
0.923077,0.923077,0,-7.96174e-34,-2.07506e-34,7.1973e-34,3.88398,1.09314e-33
1,0.923077,0,-2.73963e-33,9,1.66623e-33,0.720008,9
0,1,0,-6.89859e-37,1.18144e-36,-5.10218e-37,0.111416,1.46015e-36
0.0769231,1,0,-3.83777e-37,1.88771e-37,9.07485e-37,0.104514,1.00322e-36
0.153846,1,0,4.19817e-36,-1.97228e-36,2.02508e-36,0.0977132,5.06117e-36
0.230769,1,0,1.35955e-35,-4.99916e-36,2.24028e-36,0.101258,1.46577e-35
0.307692,1,0,2.74117e-35,-8.64734e-36,1.69121e-36,0.122872,2.8793e-35
0.384615,1,0,4.63988e-35,-1.36694e-35,9.71692e-37,0.168859,4.83802e-35
0.461538,1,0,7.24755e-35,-2.06133e-35,-1.97503e-38,0.248937,7.53499e-35
0.538462,1,0,1.08467e-34,-3.04014e-35,-1.18673e-36,0.377531,1.12654e-34
0.615385,1,0,1.63131e-34,-5.23562e-35,3.15688e-36,0.567816,1.71356e-34
0.692308,1,0,2.53338e-34,-8.72186e-35,3.57713e-36,0.878168,2.67955e-34
0.769231,1,0,3.29006e-34,-2.75336e-35,-5.14537e-35,1.54104,3.34141e-34
0.846154,1,0,9.52255e-34,-1.10849e-33,6.29835e-34,1.12115,1.5913e-33
0.923077,1,0,1.71115e-33,-9.39917e-34,-1.3201e-33,7.978,2.35672e-33
1,1,0,1.06517e-33,9,-2.32271e-33,15.3545,9
0,0,0.0769231,1.11577e-36,-6.84511e-37,-1.31695e-37,-0.108084,1.31561e-36
0.0769231,0,0.0769231,1.11654e-35,-3.71772e-36,-2.24749e-36,-0.102792,1.19807e-35
0.153846,0,0.0769231,3.39845e-35,-9.87661e-36,-5.10074e-36,-0.0955393,3.57562e-35
0.230769,0,0.0769231,7.09866e-35,-1.46688e-35,-8.11508e-36,-0.0994209,7.29392e-35
0.307692,0,0.0769231,1.22772e-34,-2.00661e-35,-1.1095e-35,-0.121122,1.24894e-34
0.384615,0,0.0769231,1.92103e-34,-2.75804e-35,-1.41006e-35,-0.167283,1.94584e-34
0.461538,0,0.0769231,2.84142e-34,-3.8866e-35,-1.72284e-35,-0.247453,2.87305e-34
0.538462,0,0.0769231,4.08753e-34,-5.54696e-35,-2.05022e-35,-0.37693,4.13009e-34
0.615385,0,0.0769231,5.7505e-34,-8.99211e-35,-2.39563e-35,-0.571305,5.82531e-34
0.692308,0,0.0769231,8.05602e-34,-1.35658e-34,-2.80542e-35,-0.913151,8.17425e-34
0.769231,0,0.0769231,1.2169e-33,-1.72208e-34,-2.97835e-35,-1.46756,1.22939e-33
0.846154,0,0.0769231,1.09966e-33,-8.95712e-34,-4.82847e-35,-1.90429,1.41911e-33
